bin_id,sentiment,Tstart,Tend,bin_position
3413,0.00000,1584538493635,1584628587197,1
3422,-0.90000,1584395047846,1584628532170,1
3427,-0.90000,1583934855296,1584628506945,1
3428,-0.90000,1583934855296,1584628506945,2
3445,-0.45000,1584609721659,1584628388423,1
3446,0.05000,1584609721659,1584628388423,2
3459,-0.90000,1584436594814,1584628327570,1
3471,-0.90000,1584628138777,1584628262028,1
3482,-0.20000,1584122501879,1584628187577,1
3483,-0.60000,1584122501879,1584628187577,2
3484,-0.10000,1584122501879,1584628187577,3
3485,-0.64000,1584122501879,1584628187577,4
3490,-0.15714,1584181749592,1584628142428,1
3544,-0.70000,1584569607992,1584627930683,1
3551,-0.60000,1584614064868,1584627898729,1
3552,-0.80000,1584614064868,1584627898729,2
3554,-0.40000,1584627718182,1584627889281,1
3555,-0.90000,1584627718182,1584627889281,2
3562,0.00000,1584623403179,1584627857787,1
3563,-0.70000,1584623403179,1584627857787,2
3569,-0.70000,1584626818819,1584627842309,1
3590,-0.15000,1584627700392,1584627758365,1
3617,-0.90000,1584613458918,1584627544166,1
3618,-0.90000,1584613458918,1584627544166,2
3677,-0.60000,1584440457599,1584627375576,1
3678,0.20000,1584440457599,1584627375576,2
3679,-0.90000,1584087552910,1584627372716,1
3689,-0.90000,1584583127358,1584627341411,1
3690,0.90000,1584583127358,1584627341411,2
3697,-0.05000,1584613479692,1584627308467,1
3698,-0.90000,1584605290401,1584627295227,1
3699,0.00000,1584605290401,1584627295227,2
3700,0.00000,1584627140261,1584627292739,1
3701,0.30000,1584627140261,1584627292739,2
3702,0.40000,1584627140261,1584627292739,3
3707,-0.20000,1584625092493,1584627273219,1
3708,0.00000,1584625092493,1584627273219,2
3711,-0.50000,1584622621920,1584627266480,1
3715,-0.90000,1584612065388,1584627245640,1
3716,-0.60000,1584612065388,1584627245640,2
3764,-0.55000,1584371517472,1584627029249,1
3768,-0.90000,1584181749592,1584627017061,1
3769,-0.40000,1584554257601,1584627006756,1
3770,-0.80000,1584554257601,1584627006756,2
3781,0.20000,1584623741438,1584626959194,1
3797,-0.40000,1584363930525,1584626909158,1
3798,-0.20000,1584363930525,1584626909158,2
3802,-0.80000,1584622307190,1584626895729,1
3839,-0.66667,1584626401410,1584626801732,1
3851,-0.80000,1584538493635,1584626765857,1
3858,-0.78000,1584626497790,1584626742084,1
3859,-0.80000,1584626497790,1584626742084,2
3869,0.00000,1584626497790,1584626718997,1
3876,-0.40000,1584557128298,1584626686811,1
3877,-0.40000,1584557128298,1584626686811,2
3885,-0.90000,1584382665736,1584626670361,1
3892,-0.90000,1584619429783,1584626638738,1
3897,-0.78000,1584621365233,1584626610274,1
3898,-0.70000,1584621365233,1584626610274,2
3939,-0.90000,1584613458918,1584626527058,1
3940,-0.60000,1584615499426,1584626524274,1
3950,-0.90000,1584623795050,1584626510566,1
3951,0.50000,1584623795050,1584626510566,2
3952,-0.30000,1584623795050,1584626510566,3
3956,0.00000,1584618870965,1584626497349,1
3957,-0.50000,1584538493635,1584626496908,1
3958,-0.80000,1584538493635,1584626496908,2
